EUBWID,label,Site Name in Files,samplePointID,yearDesignated,yearDedesignated,district,county,country,easting,northing,lat,long,seasonStartDate,seasonFinishDate,pollutionRiskForecasting,appointedSewerageUndertaker,stepChange,stepChangeDate,region
ukj3307-16400,Beachlands West,Beachlands_West,16400,1988,,Havant,Hampshire,England,470500,98700,50.78360723,-1.001332856,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukk4200-23700,Beacon Cove,Beacon_Cove,23700,1988,,Torbay,,England,291950,63070,50.45748857,-3.523514104,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukc2102-03900,Beadnell,Beadnell,3900,1988,,Northumberland,,England,423300,628400,55.5487603,-1.632287511,01/05/2022,30/09/2022,False,Northumbrian Water Limited,,,North East
ukk4301-21700,Beer,Beer,21700,1988,,East Devon,,England,323121,89111,50.69655106,-3.089887555,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukj3400-18200,Bembridge,Bembridge,18200,1988,,Isle of Wight,,England,465817,87808,50.68622183,-1.069693125,01/05/2022,30/09/2022,True,Southern Water Services Limited,,,South East
ukk2302-35500,Berrow North of Unity Farm,Berrow_North_of_Unity_Farm,35500,1988,,Sedgemoor,Somerset,England,329114,154114,51.28174586,-3.017755193,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukj2205-14200,Bexhill,Bexhill,14200,1988,,Rother,East Sussex,England,574042,107018,50.83653388,0.470332162,01/05/2022,30/09/2022,True,Southern Water Services Limited,,,South East
ukk4305-25900,Bigbury-on-Sea North,Bigbury-on-Sea_North,25900,1988,,South Hams,Devon,England,264950,44300,50.28317869,-3.89693283,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukk4305-25800,Bigbury-on-Sea South,Bigbury-on-Sea_South,25800,1988,,South Hams,Devon,England,265080,44130,50.28168041,-3.895048496,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukj2201-14550,Birling Gap,Birling_Gap,14550,1998,,Wealden,East Sussex,England,555367,95973,50.74259534,0.20066902,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukd4200-42600,Bispham,Bispham,42600,1988,,Blackpool,,England,330700,439700,53.84890019,-3.054890542,01/05/2022,30/09/2022,True,United Utilities Water Limited,,,North West
ukd4200-42300,Blackpool Central,Blackpool_Central,42300,1988,,Blackpool,,England,330536,434556,53.8026523,-3.056219151,01/05/2022,30/09/2022,True,United Utilities Water Limited,,,North West
ukd4200-42500,Blackpool North,Blackpool_North,42500,1988,,Blackpool,,England,330534,436055,53.81612266,-3.056588326,01/05/2022,30/09/2022,True,United Utilities Water Limited,"Step Change in water quality from 30/04/2015, due to improvements made to Water plc assets.",30/04/2015,North West
ukk4305-24800,Blackpool Sands,Blackpool_Sands,24800,1988,,South Hams,Devon,England,285500,47850,50.31944156,-3.609700137,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukd4200-42100,Blackpool South,Blackpool_South,42100,1988,,Blackpool,,England,330326,433222,53.79063629,-3.059104944,01/05/2022,30/09/2022,True,United Utilities Water Limited,"Step Change in water quality from 05/05/2014, due to improvements made to Water plc assets.",05/05/2014,North West
ukk2305-35200,Blue Anchor West,Blue_Anchor_West,35200,1988,,Somerset West and Taunton,Somerset,England,302161,143509,51.18241849,-3.401198912,01/05/2022,30/09/2022,True,Wessex Water Services Limited,,,South West
ukc2103-04600,Blyth South Beach,Blyth_South_Beach,4600,1988,,Northumberland,,England,432200,579500,55.10887436,-1.496828271,01/05/2022,30/09/2022,True,Northumbrian Water Limited,,,North East
ukj2402-15700,Bognor Regis (Aldwick),Bognor_Regis_Aldwick,15700,1988,,Arun,,England,492360,98557,50.77925616,-0.691360026,01/05/2022,30/09/2022,True,Southern Water Services Limited,,,South East
ukj2402-15680,Bognor Regis East,Bognor_Regis_East,15680,1999,,Arun,,England,493900,98930,50.78236249,-0.669428029,01/05/2022,30/09/2022,True,Southern Water Services Limited,,,South East
ukk3104-32750,Booby's Bay,Boobys_Bay,32750,2018,,Cornwall,,England,185692,75404,50.53904519,-5.025815465,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukj4210-12660,"Botany Bay, Broadstairs","Botany_Bay,_Broadstairs",12660,1997,,Thanet,Kent,England,639100,171200,51.38944566,1.4352576,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukk2101-19160,Bournemouth Alum Chine,Bournemouth_Alum_Chine,19160,2000,,"Bournemouth, Christchurch and Poole",,England,407481,90171,50.7111346,-1.89542149,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukk2101-19060,Bournemouth Boscombe Pier,Bournemouth_Boscombe_Pier,19060,1993,,"Bournemouth, Christchurch and Poole",,England,411107,91104,50.71946751,-1.844038808,01/05/2022,30/09/2022,True,Wessex Water Services Limited,,,South West
ukk2101-19150,Bournemouth Durley Chine,Bournemouth_Durley_Chine,19150,1993,,"Bournemouth, Christchurch and Poole",,England,407951,90387,50.71307087,-1.888760306,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukk2101-19030,Bournemouth Fisherman`s Walk,Bournemouth_Fishermans_Walk,19030,1993,,"Bournemouth, Christchurch and Poole",,England,413024,91248,50.72072304,-1.816878602,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukk2101-19000,Bournemouth Hengistbury West,Bournemouth_Hengistbury_West,19000,1988,,"Bournemouth, Christchurch and Poole",,England,416257,90826,50.71684737,-1.77109905,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukk2101-19050,Bournemouth Manor Steps,Bournemouth_Manor_Steps,19050,2018,,"Bournemouth, Christchurch and Poole",,England,411936,91195,50.72026046,-1.83228185,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukk2101-19100,Bournemouth Pier,Bournemouth_Pier,19100,1988,,"Bournemouth, Christchurch and Poole",,England,408860,90657,50.71548593,-1.875879236,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukk2101-19020,Bournemouth Southbourne,Bournemouth_Southbourne,19020,2000,,"Bournemouth, Christchurch and Poole",,England,414800,91060,50.71899027,-1.791727608,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukk4305-26300,Bovisand,Bovisand,26300,1988,,South Hams,Devon,England,249260,50550,50.33554673,-4.119504263,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukk2206-20400,Bowleaze Cove,Bowleaze_Cove,20400,1988,,Dorset,,England,370236,81919,50.63620687,-2.422250206,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukj2403-16000,Bracklesham Bay,Bracklesham_Bay,16000,1988,,Chichester,West Sussex,England,480462,96331,50.76101317,-0.860567028,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukk4200-24500,Breakwater Beach (Shoalstone),Breakwater_Beach_Shoalstone,24500,1988,,Torbay,,England,293170,56660,50.40008631,-3.504505857,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukk2302-35600,Brean,Brean,35600,1988,,Sedgemoor,Somerset,England,329600,158500,51.32123798,-3.011654923,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
uke1200-08000,Bridlington North Beach,Bridlington_North_Beach,8000,1988,,East Riding of Yorkshire,,England,518972,467175,54.08675644,-0.182691651,01/05/2022,30/09/2022,True,Yorkshire Water Services Limited,"Step Change in water quality from 31/03/2014, due to improvements made to Water plc assets.",31/03/2014,Yorkshire and The Humber
uke1200-08100,Bridlington South Beach,Bridlington_South_Beach,8100,1988,,East Riding of Yorkshire,,England,517948,466087,54.07720861,-0.198744945,01/05/2022,30/09/2022,True,Yorkshire Water Services Limited,"Step Change in water quality from 31/03/2014, due to improvements made to Water plc assets.",31/03/2014,Yorkshire and The Humber
ukh3311-11700,Brightlingsea,Brightlingsea,11700,1988,,Tendring,,England,607647,216182,51.80571144,1.010494962,01/05/2022,30/09/2022,True,Anglian Water Services Limited,,,East of England
ukj2100-14950,Brighton Central,Brighton_Central,14950,2007,,The City of Brighton and Hove,,England,530701,103940,50.82027276,-0.145883429,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukj2100-14900,Brighton Kemptown,Brighton_Kemptown,14900,1988,,The City of Brighton and Hove,,England,532384,103503,50.8159632,-0.122161895,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukk4200-24300,Broadsands,Broadsands,24300,1988,,Torbay,,England,289642,57393,50.40602328,-3.554342761,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukj4210-12750,"Broadstairs, Stone Bay","Broadstairs,_Stone_Bay",12750,1997,,Thanet,Kent,England,639923,168564,51.36543951,1.445285432,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukj4210-12800,"Broadstairs, Viking Bay","Broadstairs,_Viking_Bay",12800,1988,,Thanet,Kent,England,639800,167700,51.35773664,1.442939769,01/05/2022,30/09/2022,True,Southern Water Services Limited,,,South East
ukk4301-22100,Budleigh Salterton,Budleigh_Salterton,22100,1988,,East Devon,,England,306860,81900,50.62934134,-3.318247039,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukk2302-35300,Burnham Jetty North,Burnham_Jetty_North,35300,1988,2020.0,Sedgemoor,Somerset,England,330322,148972,51.2357,-2.9994,01/05/2019,30/09/2019,True,Wessex Water Services Limited,,,South West
ukh1303-10350,Caister Point,Caister_Point,10350,1991,,Great Yarmouth,Norfolk,England,652922,311945,52.64623297,1.737401191,01/05/2022,30/09/2022,False,Anglian Water Services Limited,,,East of England
ukj3308-16900,Calshot,Calshot,16900,1988,,New Forest,Hampshire,England,448138,101306,50.80932353,-1.318168307,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukj2204-13900,Camber,Camber,13900,1988,,Rother,East Sussex,England,596586,118585,50.93321366,0.796331259,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukk3105-31100,Carbis Bay,Carbis_Bay,31100,1988,,Cornwall,,England,152820,38940,50.19875898,-5.464938627,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukk3101-26530,Cawsand,Cawsand,26530,1998,,Cornwall,,England,243420,50200,50.33087703,-4.201357187,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
uke2206-07500,Cayton Bay,Cayton_Bay,7500,1988,,Scarborough,North Yorkshire,England,506775,484468,54.24478304,-0.362946553,01/05/2022,30/09/2022,False,Yorkshire Water Services Limited,,,Yorkshire and The Humber
ukk4305-26000,Challaborough,Challaborough,26000,1988,,South Hams,Devon,England,264920,44800,50.28766602,-3.897532448,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukk3102-31650,Chapel Porth,Chapel_Porth,31650,2012,,Cornwall,,England,169729,49503,50.3004,-5.2348,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukf3102-09500,Chapel St Leonards,Chapel_St_Leonards,9500,1988,,Chapel St. Leonards,Lincolnshire,England,556313,372177,53.2236447,0.339965692,01/05/2022,30/09/2022,False,Anglian Water Services Limited,,,East Midlands
ukk3106-27600,Charlestown,Charlestown,27600,1988,,Cornwall,,England,204000,51550,50.33120498,-4.755309868,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukk2205-21300,Charmouth West,Charmouth_West,21300,1988,,Dorset,,England,336260,93050,50.73356001,-2.904564296,01/05/2022,30/09/2022,True,Wessex Water Services Limited,,,South West
ukk2201-18800,Christchurch Avon Beach,Christchurch_Avon_Beach,18800,1988,,"Bournemouth, Christchurch and Poole",,England,418895,92216,50.72926781,-1.733662117,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukk2201-17200,Christchurch Bay,Christchurch_Bay,17200,1988,,New Forest,Hampshire,England,423900,92800,50.7343361,-1.662712354,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukk2201-18750,Christchurch Friar`s Cliff,Christchurch_Friars_Cliff,18750,1990,,"Bournemouth, Christchurch and Poole",,England,419194,92528,50.73206374,-1.729409648,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukk2201-18700,Christchurch Highcliffe Castle,Christchurch_Highcliffe_Castle,18700,1988,,"Bournemouth, Christchurch and Poole",,England,420248,92931,50.73565217,-1.714453362,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukk2201-18900,Christchurch Mudeford Sandbank East,Christchurch_Mudeford_Sandbank_East,18900,1988,,"Bournemouth, Christchurch and Poole",,England,418300,91100,50.71925102,-1.742147286,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukk3103-29501,Church Cove,Church_Cove,29501,2004,,Cornwall,,England,166100,20500,50.03858573,-5.267882204,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukk2206-20500,Church Ope Cove,Church_Ope_Cove,20500,1988,,Dorset,,England,369760,71000,50.53799179,-2.428088941,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukh3311-11500,Clacton,Clacton,11500,1988,,Tendring,,England,618790,215250,51.79309928,1.171275828,01/05/2022,30/09/2022,True,Anglian Water Services Limited,,,East of England
ukh3311-11550,Clacton (Groyne 41),Clacton_Groyne_41,11550,1995,2020.0,Tendring,,England,617600,214300,51.785,1.1535,01/05/2019,30/09/2019,False,Anglian Water Services Limited,,,East of England
ukh3311-11650,Clacton Beach Martello Tower,Clacton_Beach_Martello_Tower,11650,2005,,Tendring,,England,616700,213700,51.77999703,1.140050759,01/05/2022,30/09/2022,True,Anglian Water Services Limited,,,East of England
uke1301-09000,Cleethorpes,Cleethorpes,9000,1988,,North East Lincolnshire,,England,531109,408508,53.55682662,-0.022225057,01/05/2022,30/09/2022,True,Anglian Water Services Limited,,,Yorkshire and The Humber
ukk1202-36000,Clevedon Beach,Clevedon_Beach,36000,1988,,North Somerset,,England,340224,171824,51.44224,-2.86146,01/05/2022,30/09/2022,True,Wessex Water Services Limited,,,South West
ukd4312-42800,Cleveleys,Cleveleys,42800,1988,,Wyre,Lancashire,England,331200,443300,53.88131763,-3.048100349,01/05/2022,30/09/2022,True,United Utilities Water Limited,,,North West
ukj3400-17600,Colwell Bay,Colwell_Bay,17600,1988,,Isle of Wight,,England,432699,87859,50.68947777,-1.538470268,01/05/2022,30/09/2022,True,Southern Water Services Limited,,,South East
ukf1400-09750,Colwick Country Park (West Lake),Colwick_Country_Park_West_Lake,9750,2013,,City of Nottingham,,England,460698,339020,52.94514355,-1.098157379,01/05/2022,30/09/2022,False,Severn Trent Water Limited,,,East Midlands
ukk4304-34700,Combe Martin,Combe_Martin,34700,1988,,Combe Martin,Devon,England,257720,147320,51.20732429,-4.038174649,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukk4304-34410,"Combesgate Beach, Woolacombe","Combesgate_Beach,_Woolacombe",34410,1999,,Mortehoe,Devon,England,245450,144440,51.17825641,-4.21244811,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukj3400-17400,Compton Bay,Compton_Bay,17400,1988,,Isle of Wight,,England,437681,84179,50.65608555,-1.468319236,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukk3104-32700,Constantine Bay,Constantine_Bay,32700,1988,,Cornwall,,England,185890,74750,50.5332515,-5.022660559,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukk1302-11760,Cotswold Country Park and Beach,Cotswold_Country_Park_and_Beach,11760,1998,,Cotswold,,England,402800,195800,51.66098532,-1.96093036,01/05/2022,30/09/2022,False,Thames Water Utilities Limited,,,South West
ukk3103-29100,Coverack,Coverack,29100,1988,,Cornwall,,England,178260,18400,50.02438167,-5.097117317,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukj3400-17800,Cowes,Cowes,17800,1988,,Isle of Wight,,England,448800,96700,50.76785154,-1.309383644,01/05/2022,30/09/2022,True,Southern Water Services Limited,,,South East
ukk3104-33360,Crackington Haven,Crackington_Haven,33360,2002,,St. Gennys,,England,214270,96900,50.74193646,-4.633780919,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukk3106-32100,Crantock,Crantock,32100,1988,,Cornwall,,England,178460,60980,50.40683393,-5.119187061,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukc1404-05900,Crimdon,Crimdon,5900,1988,,County Durham,,England,448482,537268,54.7280784,-1.248732185,01/05/2022,30/09/2022,True,Northumbrian Water Limited,,,North East
ukk3106-27500,Crinnis Beach,Crinnis_Beach,27500,1988,,Cornwall,,England,205550,52040,50.33612048,-4.733810427,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukh1305-10200,Cromer,Cromer,10200,1988,,North Norfolk,Norfolk,England,622025,342339,52.93251242,1.302162611,01/05/2022,30/09/2022,False,Anglian Water Services Limited,,,East of England
ukk3104-33600,Crooklets,Crooklets,33600,1988,,Cornwall,,England,220260,107140,50.8358149,-4.553985604,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukk4304-34200,Croyde Bay,Croyde_Bay,34200,1988,,North Devon,Devon,England,243470,139300,51.13153391,-4.238514539,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
uke1200-07950,"Danes Dyke, Flamborough","Danes_Dyke,_Flamborough",7950,1999,,East Riding of Yorkshire,,England,521592,469167,54.10403879,-0.141861016,01/05/2022,30/09/2022,False,Yorkshire Water Services Limited,,,Yorkshire and The Humber
ukk4305-24700,Dartmouth Castle and Sugary Cove,Dartmouth_Castle_and_Sugary_Cove,24700,1988,,South Hams,Devon,England,288700,50300,50.34208047,-3.565492828,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukk4306-22600,Dawlish Coryton Cove,Dawlish_Coryton_Cove,22600,1988,,Teignbridge,Devon,England,296110,76040,50.5748418,-3.468545987,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukk4306-22500,Dawlish Town,Dawlish_Town,22500,1988,,Teignbridge,Devon,England,296467,76705,50.58087556,-3.463680564,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukk4306-22400,Dawlish Warren,Dawlish_Warren,22400,1988,,Teignbridge,Devon,England,298260,78760,50.59967359,-3.438938539,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukk3104-33200,Daymer Bay,Daymer_Bay,33200,1988,,Cornwall,,England,192830,77600,50.5613478,-4.926454333,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukj4204-13100,Deal Castle,Deal_Castle,13100,1988,,Dover,Kent,England,637837,152805,51.22486582,1.404885309,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukh3311-11100,Dovercourt,Dovercourt,11100,1988,,Tendring,,England,625170,230640,51.92871452,1.273653637,01/05/2022,30/09/2022,False,Anglian Water Services Limited,,,East of England
ukk3101-26700,Downderry,Downderry,26700,1988,,Cornwall,,England,231470,53920,50.36100434,-4.370775756,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukc2104-04280,Druridge Bay North,Druridge_Bay_North,4280,2008,,Northumberland,,England,427500,599750,55.29111457,-1.568535756,01/05/2022,30/09/2022,True,Northumbrian Water Limited,,,North East
ukc2104-04300,Druridge Bay South,Druridge_Bay_South,4300,1988,,Northumberland,,England,429100,594100,55.24025511,-1.543923843,01/05/2022,30/09/2022,False,Northumbrian Water Limited,,,North East
ukk2305-35100,Dunster Beach,Dunster_Beach,35100,1988,,Somerset West and Taunton,Somerset,England,300408,144655,51.1922413,-3.426872624,01/05/2022,30/09/2022,True,Wessex Water Services Limited,,,South West
ukk3106-27700,Duporth,Duporth,27700,1988,,Cornwall,,England,203520,51150,50.32745191,-4.761837457,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukk2204-20100,Durdle Door East,Durdle_Door_East,20100,1988,,Dorset,,England,380703,80291,50.62200948,-2.274158591,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukk2204-20200,Durdle Door West,Durdle_Door_West,20200,1988,,Dorset,,England,380493,80285,50.62194849,-2.277126845,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukj4208-13600,Dymchurch,Dymchurch,13600,1988,,Shepway,Kent,England,610240,129300,51.02462308,0.996565672,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukj3400-17850,East Cowes,East_Cowes,17850,2022,,Isle of Wight,,England,450642,96377,50.76477,-1.28329,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukk3101-27000,East Looe,East_Looe,27000,1988,,Cornwall,,England,225700,53170,50.35258417,-4.45147295,01/05/2022,30/09/2022,True,South West Water Limited,"Step Change in water quality from 30/04/2015, due to improvements made to Water plc assets.",30/04/2015,South West
ukh1305-10150,East Runton,East_Runton,10150,2010,,North Norfolk,Norfolk,England,620242,342763,52.93706193,1.275953324,01/05/2022,30/09/2022,False,Anglian Water Services Limited,,,East of England
ukj2201-14500,Eastbourne,Eastbourne,14500,1988,,Eastbourne,East Sussex,England,561400,98200,50.76096183,0.287079794,01/05/2022,30/09/2022,True,Southern Water Services Limited,,,South East
ukj3100-16500,Eastney,Eastney,16500,1988,,City of Portsmouth,,England,467410,98774,50.78463945,-1.045144414,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukj3307-16300,Eastoke,Eastoke,16300,1988,,Havant,Hampshire,England,472900,98400,50.7806136,-0.96735398,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukk4301-22300,Exmouth,Exmouth,22300,1988,,East Devon,,England,300920,79980,50.6110998,-3.401691312,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukk2205-21100,Eypemouth,Eypemouth,21100,1988,,Dorset,,England,344685,91013,50.71610894,-2.784889676,01/05/2022,30/09/2022,False,Wessex Water Services Limited,,,South West
ukh1406-10900,Felixstowe North,Felixstowe_North,10900,1988,,East Suffolk,Suffolk,England,630598,234411,51.96034059,1.354985829,01/05/2022,30/09/2022,False,Anglian Water Services Limited,,,East of England
ukh1406-11000,Felixstowe South,Felixstowe_South,11000,1988,,East Suffolk,Suffolk,England,629700,233700,51.95433041,1.341464361,01/05/2022,30/09/2022,False,Anglian Water Services Limited,,,East of England
ukj2402-15650,Felpham,Felpham,15650,1996,,Arun,,England,495080,99390,50.78630588,-0.65257607,01/05/2022,30/09/2022,True,Southern Water Services Limited,,,South East
uke2206-07600,Filey,Filey,7600,1988,,Scarborough,North Yorkshire,England,512003,480524,54.20823726,-0.284226457,01/05/2022,30/09/2022,True,Yorkshire Water Services Limited,,,Yorkshire and The Humber
ukk3106-32200,Fistral North,Fistral_North,32200,1988,,Cornwall,,England,179980,62130,50.41773218,-5.09850303,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukk3106-32150,Fistral South,Fistral_South,32150,2018,,Cornwall,,England,179750,61743,50.41416381,-5.101497644,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
uke1200-07900,Flamborough South Landing,Flamborough_South_Landing,7900,1988,,East Riding of Yorkshire,,England,523124,469230,54.10424081,-0.118418582,01/05/2022,30/09/2022,False,Yorkshire Water Services Limited,,,Yorkshire and The Humber
ukd4312-43000,Fleetwood,Fleetwood,43000,1988,,Wyre,Lancashire,England,333120,448310,53.92659085,-3.019994651,01/05/2022,30/09/2022,True,United Utilities Water Limited,"Step Change in water quality from 30/04/2015, due to improvements made to Water plc assets.",30/04/2015,North West
ukj4208-13300,Folkestone,Folkestone,13300,1988,,Shepway,Kent,England,623615,136249,51.08197047,1.191271165,01/05/2022,30/09/2022,False,Southern Water Services Limited,,,South East
ukd5300-41200,Formby,Formby,41200,1988,,Sefton,,England,326800,406300,53.54821805,-3.106258875,01/05/2022,30/09/2022,False,United Utilities Water Limited,,,North West
uke1200-08300,Fraisthorpe,Fraisthorpe,8300,1988,,East Riding of Yorkshire,,England,517030,462873,54.04855538,-0.214023771,01/05/2022,30/09/2022,True,Yorkshire Water Services Limited,,,Yorkshire and The Humber
ukj2310-11945,Frensham Great Pond,Frensham_Great_Pond,11945,1998,,Waverley,Surrey,England,484588,140478,51.15732271,-0.79183358,01/05/2022,30/09/2022,False,Thames Water Utilities Limited,,,South East
ukh3311-11300,Frinton,Frinton,11300,1988,,Tendring,,England,623928,219342,51.82778896,1.248309418,01/05/2022,30/09/2022,True,Anglian Water Services Limited,,,East of England
ukk3105-31450,Godrevy Towans,Godrevy_Towans,31450,2018,,Cornwall,,England,158194,42479,50.23274436,-5.392021708,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukk4200-24200,Goodrington,Goodrington,24200,1988,,Torbay,,England,289317,59350,50.42355515,-3.559492136,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukh1303-10650,Gorleston Beach,Gorleston_Beach,10650,1991,,Great Yarmouth,Norfolk,England,653096,303434,52.56979184,1.733474174,01/05/2022,30/09/2022,False,Anglian Water Services Limited,,,East of England
ukk3106-28200,Gorran Haven Little Perhaver,Gorran_Haven_Little_Perhaver,28200,1988,,St. Goran,,England,201330,41590,50.24084294,-4.787542868,01/05/2022,30/09/2022,True,South West Water Limited,,,South West
ukk3106-32310,Great Western,Great_Western,32310,1996,,Cornwall,,England,181530,61870,50.41597606,-5.076566444,01/05/2022,30/09/2022,False,South West Water Limited,,,South West
ukh1303-10400,Great Yarmouth North,Great_Yarmouth_North,10400,1988,,Great Yarmouth,Norfolk,England,653361,310410,52.63225858,1.742698731,01/05/2022,30/09/2022,False,Anglian Water Services Limited,,,East of England
ukh1303-10500,Great Yarmouth Pier,Great_Yarmouth_Pier,10500,1988,,Great Yarmouth,Norfolk,England,653300,307400,52.60528559,1.739494757,01/05/2022,30/09/2022,False,Anglian Water Services Limited,,,East of England
ukh1303-10600,Great Yarmouth South,Great_Yarmouth_South,10600,1988,,Great Yarmouth,Norfolk,England,653300,306400,52.59631497,1.738729916,01/05/2022,30/09/2022,False,Anglian Water Services Limited,,,East of England
