,time,site
21313,2020-07-03,ukk2206-20300
137672,2022-06-03,ukk2204-20000
136305,2022-05-31,ukj2203-14600
94065,2021-07-22,ukk3105-30500
105049,2021-08-17,ukk4306-22500
47744,2020-09-04,ukj3100-16600
165841,2022-08-09,ukj4210-12600
45208,2020-08-29,ukj2402-15600
173334,2022-08-28,ukh3311-11300
99315,2021-08-04,ukh3311-11100
30720,2020-07-25,ukk4305-25400
77443,2021-06-13,ukd1103-45600
175543,2022-09-02,ukk2101-19060
180720,2022-09-15,ukk3106-32310
87319,2021-07-06,ukk3102-28500
5980,2020-05-28,uke2206-07400
55418,2020-09-22,ukk2206-20700
142691,2022-06-15,ukj4210-12800
42220,2020-08-22,ukh3100-11770
48209,2020-09-05,ukj4210-12500
134588,2022-05-27,ukh1407-10830
73024,2021-06-02,ukk2101-19150
69461,2021-05-25,ukc2103-04600
5244,2020-05-26,ukj3400-18400
25048,2020-07-12,ukj4209-11975
116563,2021-09-14,ukj4204-13000
90923,2021-07-15,ukh1407-10800
57694,2020-09-28,ukc1404-05900
48911,2020-09-07,uke1200-08600
29896,2020-07-23,ukk4307-33900
5133,2020-05-26,uke2206-06900
162371,2022-08-01,ukh1406-11000
42720,2020-08-23,ukj4204-13000
148657,2022-06-29,ukk3102-31800
150831,2022-07-04,ukk3106-32340
49816,2020-09-09,uki1101-11910
12917,2020-06-13,ukk3102-28550
118743,2021-09-19,ukk3101-27000
42324,2020-08-22,ukk1100-36050
82343,2021-06-24,ukk3105-31300
46045,2020-08-31,ukj2310-11945
186226,2022-09-28,ukk4304-34300
108809,2021-08-26,ukk4305-25400
15051,2020-06-18,ukk3104-33300
160566,2022-07-27,ukk4305-26200
109921,2021-08-29,ukk2205-21300
43097,2020-08-24,ukj2205-14300
57376,2020-09-27,ukh3100-11770
126028,2022-05-06,ukk4304-34800
41855,2020-08-21,ukj3307-16350
138430,2022-06-05,ukj3100-16600
70385,2021-05-27,ukh1305-10150
153021,2022-07-10,ukc2104-04300
176054,2022-09-04,ukk3105-30200
58304,2020-09-29,ukj4208-13700
71364,2021-05-29,ukk2204-19800
35872,2020-08-07,uke2206-07500
102761,2021-08-12,ukk1100-36050
65698,2021-05-16,ukc2203-05000
143631,2022-06-17,ukk3104-33500
41376,2020-08-20,ukh1407-10830
127369,2022-05-10,ukd4303-41900
81623,2021-06-23,ukc2204-05300
86880,2021-07-05,ukk2206-20500
149404,2022-07-01,ukj4202-12200
170472,2022-08-21,ukj4210-12500
26137,2020-07-15,ukc2203-05200
74058,2021-06-05,ukc1202-06650
84302,2021-06-29,ukj4204-13200
101539,2021-08-09,ukk2205-21100
151084,2022-07-05,ukj3400-18600
155226,2022-07-15,ukh3100-11904
31612,2020-07-28,ukc2204-05400
20524,2020-07-01,ukk3104-33300
110933,2021-09-01,ukc1404-05800
22868,2020-07-07,ukh3311-11550
51190,2020-09-12,ukk2201-18900
54411,2020-09-20,ukh1303-10600
54357,2020-09-20,ukd1203-45625
98547,2021-08-02,ukj4204-13100
55967,2020-09-23,ukk4304-34410
180830,2022-09-16,ukd1203-45675
139854,2022-06-08,ukk3105-30800
145011,2022-06-21,ukc1404-05900
49815,2020-09-09,ukh3311-11700
81106,2021-06-21,ukk3106-32200
126574,2022-05-08,ukh1303-10650
10763,2020-06-08,ukk2102-19170
169102,2022-08-17,ukh1305-10150
66152,2021-05-17,ukd5400-41000
32177,2020-07-29,ukj3400-17400
141472,2022-06-12,ukk2206-20500
161544,2022-07-30,ukh3311-11250
116678,2021-09-14,ukk3104-33200
58981,2021-04-30,ukc2101-04250
73739,2021-06-04,ukh1305-10300
38905,2020-08-14,ukj3305-16700
42122,2020-08-22,ukc2102-03700
106811,2021-08-22,uke2206-07200
1068,2020-05-16,ukk1202-35800
178501,2022-09-10,ukk2201-17300
87538,2021-07-07,uke2206-07300
139970,2022-06-09,ukc2104-04300
186130,2022-09-28,ukk3103-28900
162107,2022-07-31,ukk2302-35600
158282,2022-07-22,ukk2101-19100
12245,2020-06-12,ukc2204-05300
110409,2021-08-30,ukk3105-30750
34283,2020-08-03,ukj3400-17500
74094,2021-06-05,ukd1203-45650
54041,2020-09-19,ukj2204-14000
49955,2020-09-09,ukk3101-26520
45918,2020-08-31,ukc2106-04400
150700,2022-07-04,ukk2101-19020
6750,2020-05-30,ukc1202-06700
3885,2020-05-23,ukf3102-09600
31287,2020-07-27,ukh3311-11500
109677,2021-08-29,ukc1404-05900
135125,2022-05-28,ukk2101-19050
131426,2022-05-19,ukk3105-30100
152386,2022-07-08,ukk2101-19050
101171,2021-08-08,ukk3104-32750
61688,2021-05-06,ukj4210-12400
72020,2021-05-31,uke1200-07950
166432,2022-08-10,ukk4301-22000
55712,2020-09-23,uki1101-11930
33873,2020-08-02,ukj3400-18500
69495,2021-05-25,ukd4305-43550
123097,2021-09-30,ukc2106-04400
29614,2020-07-23,ukj2100-14950
65818,2021-05-16,ukj2204-14000
67865,2021-05-21,ukh1304-09800
167137,2022-08-12,ukk2201-18900
145908,2022-06-23,uke1200-08100
60340,2021-05-03,ukh3100-11780
38799,2020-08-14,ukd5400-40900
13838,2020-06-15,ukk4100-26400
125156,2022-05-04,ukk3106-32500
30828,2020-07-26,ukf3102-09500
159251,2022-07-24,ukk3106-32340
52433,2020-09-15,ukk1302-11760
10003,2020-06-06,ukk3104-33500
96717,2021-07-29,ukd1103-45600
29286,2020-07-22,ukk2101-19160
38088,2020-08-12,ukj4202-12200
23709,2020-07-09,ukh3311-11500
82380,2021-06-24,ukk4200-23800
71338,2021-05-29,ukk1202-35800
152076,2022-07-07,ukk3106-27400
64328,2021-05-12,ukk3105-31400
57619,2020-09-27,ukk3106-32340
134926,2022-05-28,ukc2204-05300
111854,2021-09-03,ukh1303-10325
123732,2022-04-28,ukj4202-12150
2167,2020-05-19,ukd5300-41200
103954,2021-08-15,ukj2402-15500
36952,2020-08-09,ukk3105-30200
141937,2022-06-13,ukk3104-32700
36720,2020-08-09,ukf3102-09300
82374,2021-06-24,ukk4200-23200
51649,2020-09-13,ukk3102-28550
100655,2021-08-07,ukj4210-12400
95122,2021-07-25,ukh3100-11902
30784,2020-07-26,ukd1203-45700
82590,2021-06-25,ukj2402-15800
102233,2021-08-11,ukh1406-10900
8931,2020-06-04,ukf1400-09750
95710,2021-07-26,ukk3103-28900
111256,2021-09-01,ukk3105-31400
129391,2022-05-14,ukk4304-34400
177084,2022-09-07,ukf3102-09200
93211,2021-07-20,ukk3104-32800
11096,2020-06-09,ukj2202-14150
86523,2021-07-04,ukk3105-30500
181442,2022-09-17,ukk2102-19190
69582,2021-05-25,ukj2201-14400
141088,2022-06-11,ukk3103-29501
103980,2021-08-15,ukj3400-17900
138540,2022-06-05,ukk3101-26600
51741,2020-09-13,ukk4200-24200
40371,2020-08-17,ukk4200-23900
2563,2020-05-20,ukc2204-05400
101502,2021-08-09,ukj4210-12850
24662,2020-07-11,ukk2201-17200
131602,2022-05-20,uke1301-09020
24013,2020-07-10,ukc1404-05800
81439,2021-06-22,ukk2302-35600
114492,2021-09-09,ukj4210-12900
48578,2020-09-06,ukj2402-15680
173538,2022-08-28,ukk3105-31100
24536,2020-07-11,ukh1407-10830
117519,2021-09-16,ukk3104-33360
77887,2021-06-14,uke1200-08000
5437,2020-05-26,ukk4301-21800
50031,2020-09-09,ukk3106-28200
81769,2021-06-23,ukj3400-17500
34910,2020-08-04,ukk4301-22100
58255,2020-09-29,ukj2401-15100
151046,2022-07-05,ukj2401-15100
42185,2020-08-22,uke2206-07300
47710,2020-09-04,ukh3311-11700
7600,2020-06-01,ukc2102-03700
130655,2022-05-17,ukk4304-34410
81829,2021-06-23,ukk2102-19400
6936,2020-05-30,ukj4204-13100
108096,2021-08-25,ukh1305-10200
16563,2020-06-22,ukj2100-14950
85859,2021-07-03,uke2206-07000
149933,2022-07-02,ukk3103-31500
12851,2020-06-13,ukj4210-12800
118340,2021-09-18,ukk3103-29400
88079,2021-07-08,ukj4208-13800
106430,2021-08-21,ukh3100-11780
85081,2021-07-01,ukj2100-14800
11071,2020-06-09,ukh3100-11900
49053,2020-09-07,ukj4210-12630
72639,2021-06-01,ukk2302-35500
187083,2022-09-30,ukk4305-25500
127817,2022-05-11,uke2206-07200
86162,2021-07-03,ukk4301-21900
153309,2022-07-10,ukk3104-33200
31580,2020-07-27,ukk4307-33900
81977,2021-06-23,ukk4304-34100
177465,2022-09-08,ukd4200-42300
130224,2022-05-16,ukk4301-21800
149460,2022-07-01,ukk2204-20000
163215,2022-08-03,ukh1407-10800
87806,2021-07-07,ukk3106-28300
238,2020-05-14,ukk2102-19170
186885,2022-09-30,ukj4209-11975
51920,2020-09-14,ukh3311-11700
177865,2022-09-09,ukc2203-04900
76722,2021-06-11,ukj2402-15680
105774,2021-08-19,ukk3103-29900
165771,2022-08-09,ukj2201-14500
111083,2021-09-01,ukj2403-15900
183962,2022-09-23,ukk2101-19050
154188,2022-07-12,ukk3106-28100
9220,2020-06-04,ukk4200-24200
166211,2022-08-10,ukj2403-15900
178020,2022-09-09,ukj3400-17850
139975,2022-06-09,ukc2203-05000
38504,2020-08-13,ukj3400-18500
115122,2021-09-11,ukc1404-05700
142824,2022-06-15,ukk3106-28400
16809,2020-06-22,ukk4301-22300
124012,2022-04-29,ukd4305-43260
49277,2020-09-08,ukc2101-04250
101406,2021-08-09,ukh3100-11900
130605,2022-05-17,ukk3106-27400
8262,2020-06-02,ukk2206-20300
14180,2020-06-16,ukk3102-28550
119578,2021-09-21,ukk3101-26700
35345,2020-08-05,ukk4305-24800
40181,2020-08-17,ukj3400-17900
2741,2020-05-20,ukj4210-12500
28697,2020-07-21,uke1200-07900
142104,2022-06-14,ukd4303-41900
25827,2020-07-14,ukj2201-14400
162741,2022-08-02,ukd5400-40750
105828,2021-08-19,ukk3106-32300
135918,2022-05-30,ukj3400-17800
151494,2022-07-06,ukj3400-17700
24681,2020-07-11,ukk2206-20300
100278,2021-08-06,ukk2204-20100
102503,2021-08-11,ukk4301-21900
122861,2021-09-29,ukj4210-12350
18542,2020-06-27,ukc2101-04000
51563,2020-09-13,ukj4204-13200
6821,2020-05-30,uke2206-07300
165432,2022-08-08,ukk1202-36000
138762,2022-06-06,uke2206-07100
59005,2021-04-30,ukd1103-44800
64253,2021-05-12,ukk2206-20400
50912,2020-09-11,ukk4304-34200
178243,2022-09-09,ukk4305-25600
183453,2022-09-22,ukj2201-14400
42436,2020-08-22,ukk3105-31200
83862,2021-06-28,ukj3308-17100
122127,2021-09-27,ukk3104-33350
74238,2021-06-05,ukj3400-18500
106344,2021-08-21,ukc2204-05300
144971,2022-06-20,ukk4304-34600
65914,2021-05-16,ukk2201-18900
46336,2020-09-01,ukc2103-04700
74583,2021-06-06,ukh1407-10830
131563,2022-05-20,ukd1102-44200
4568,2020-05-24,ukk3106-32200
32625,2020-07-30,ukj4209-11950
96632,2021-07-28,ukk4200-24500
174613,2022-08-31,ukj2201-14500
161354,2022-07-29,ukk3106-32320
44203,2020-08-26,ukk4306-22500
91204,2021-07-15,ukk4305-24700
167160,2022-08-12,ukk2305-34900
156253,2022-07-17,ukk3104-32800
124866,2022-05-04,uke1200-08300
99186,2021-08-03,ukk4306-22800
139676,2022-06-08,ukj2205-14200
25616,2020-07-13,ukk3106-32100
31423,2020-07-27,ukk2206-20900
40433,2020-08-18,ukc1404-05900
11733,2020-06-10,ukk4100-26400
55650,2020-09-23,uke1200-08900
117795,2021-09-17,ukj3305-16800
12290,2020-06-12,uke2206-06900
83130,2021-06-26,ukk3102-28550
143549,2022-06-17,ukk2101-19160
129852,2022-05-16,ukc1202-06700
78425,2021-06-15,ukj3400-18300
174399,2022-08-30,ukk3106-28300
87358,2021-07-06,ukk3105-30200
75779,2021-06-09,ukd4305-43260
148631,2022-06-29,ukk2206-20700
143203,2022-06-16,ukk3104-32900
47757,2020-09-04,ukj3400-17700
100169,2021-08-06,ukj2201-14400
113906,2021-09-08,ukd4303-41800
62655,2021-05-08,ukk3106-27200
128847,2022-05-13,ukk2302-35500
56611,2020-09-25,ukj4202-12150
99529,2021-08-04,ukk3106-27400
177023,2022-09-07,ukc2203-04900
28057,2020-07-19,ukk2302-35500
91389,2021-07-16,ukj2402-15800
69948,2021-05-26,ukf3102-09200
163392,2022-08-03,ukk3102-31800
120200,2021-09-23,ukd5400-40750
77953,2021-06-14,ukh3311-11700
23324,2020-07-08,ukj2407-15400
115109,2021-09-10,ukk4306-22900
31303,2020-07-27,ukj2202-14100
62489,2021-05-08,ukj3307-16350
79087,2021-06-17,ukc1202-06700
150449,2022-07-03,ukk4305-24900
43119,2020-08-24,ukj3307-16400
69894,2021-05-26,ukc2300-05600
128912,2022-05-13,ukk3105-31200
80798,2021-06-21,ukd1203-45650
16085,2020-06-21,uke2206-07500
132613,2022-05-22,ukk2201-18750
183733,2022-09-23,ukc1101-06000
118870,2021-09-19,ukk4305-25900
90178,2021-07-13,ukj4210-12300
46314,2020-08-31,ukk4307-33800
125131,2022-05-04,ukk3105-31400
23579,2020-07-08,ukk4306-23000
112763,2021-09-05,ukj3100-16500
99577,2021-08-04,ukk4304-34300
80100,2021-06-19,ukj3400-18200
14339,2020-06-17,ukc2103-04600
103867,2021-08-15,uke1200-08200
86906,2021-07-05,ukk3102-31650
36443,2020-08-08,ukk2101-19160
160037,2022-07-26,ukk3103-31500
132839,2022-05-23,ukd4200-42500
178766,2022-09-11,ukf1400-09750
74969,2021-06-07,uke2206-07400
169939,2022-08-19,ukh1304-09850
101748,2021-08-10,ukd1203-45650
180049,2022-09-14,ukh1305-10150
150886,2022-07-04,ukk4306-22500
24205,2020-07-10,ukj4209-11950
92806,2021-07-19,ukk3105-30300
110477,2021-08-30,ukk4304-34800
71769,2021-05-30,ukk2102-19170
66769,2021-05-18,ukk2206-20600
131819,2022-05-20,ukk3102-32000
79137,2021-06-17,ukd5300-41500
114193,2021-09-08,ukk3106-27300
60413,2021-05-03,ukj4202-12100
179773,2022-09-13,ukk2204-20000
105937,2021-08-20,ukd1203-45625
9264,2020-06-04,ukk4306-22900
92248,2021-07-18,ukj3400-17900
8449,2020-06-03,ukc2106-04400
88878,2021-07-10,ukj2403-16100
135982,2022-05-30,ukk2201-18800
166232,2022-08-10,ukj3400-17900
72742,2021-06-01,ukk4200-23700
84974,2021-07-01,ukc2203-05200
52253,2020-09-15,ukd1203-45650
70810,2021-05-28,ukh1407-10750
71105,2021-05-28,ukk4305-26000
115392,2021-09-11,ukk3102-28500
29634,2020-07-23,ukj2402-15700
133705,2022-05-25,uke1200-08900
99711,2021-08-05,ukh1304-09900
141313,2022-06-12,ukh1305-10000
22571,2020-07-06,ukk2205-21000
49370,2020-09-08,ukh1305-10310
159399,2022-07-25,ukf1400-09750
174995,2022-09-01,ukh1305-10100
147999,2022-06-28,ukd4305-43260
116468,2021-09-14,ukh1303-10650
165410,2022-08-08,ukj4208-13700
124977,2022-05-04,ukj3400-17800
22401,2020-07-06,uke2206-07600
23081,2020-07-07,ukk3106-27600
134432,2022-05-26,ukk4301-21600
117814,2021-09-17,ukj3400-18500
65022,2021-05-14,ukj4202-12100
84491,2021-06-29,ukk4304-34100
57578,2020-09-27,ukk3104-33650
28191,2020-07-19,ukk4305-25100
94844,2021-07-24,ukk2206-20800
103244,2021-08-13,ukk3102-28700
17926,2020-06-25,ukk2201-17200
169784,2022-08-18,ukk4200-23400
74844,2021-06-06,ukk4200-24500
10693,2020-06-08,ukj2403-16100
77570,2021-06-13,ukj3305-16700
108478,2021-08-26,uke1200-08600
109622,2021-08-28,ukk4200-24600
29057,2020-07-22,ukc1101-06200
168800,2022-08-16,ukk1202-36000
39516,2020-08-15,ukk3106-32340
144663,2022-06-20,uke4100-08901
83227,2021-06-26,ukk4301-21700
128982,2022-05-13,ukk4305-25300
144531,2022-06-19,ukk4200-24100
134001,2022-05-25,ukk4200-23600
126721,2022-05-08,ukk2201-18900
156469,2022-07-18,ukh1305-10000
58836,2020-09-30,ukk3104-33350
164328,2022-08-05,ukk4301-22100
119649,2021-09-21,ukk3106-28200
145608,2022-06-22,ukj3400-18350
16419,2020-06-21,ukk4306-22700
158649,2022-07-23,ukj3400-17500
123466,2021-09-30,ukk4304-34800
10341,2020-06-07,ukk2101-19160
48386,2020-09-05,ukk4304-34200
29219,2020-07-22,ukj3100-16500
150855,2022-07-04,ukk4301-22000
163908,2022-08-04,ukk4301-22200
100237,2021-08-06,ukj4210-12450
39429,2020-08-15,ukk2305-35200
88846,2021-07-10,ukh3311-11650
25967,2020-07-14,ukk3102-28500
134809,2022-05-27,ukk3105-31350
78934,2021-06-16,ukk3101-26600
30687,2020-07-25,ukk4200-23800
50976,2020-09-12,ukc2203-05200
100600,2021-08-07,ukj2401-15200
136604,2022-06-01,ukc2106-04500
6711,2020-05-29,ukk4304-34450
99534,2021-08-04,ukk3106-27900
127573,2022-05-10,ukk2205-21100
29006,2020-07-21,ukk4200-24100
69808,2021-05-25,ukk4200-23600
149264,2022-07-01,ukd4312-42800
79200,2021-06-17,ukh3100-11902
122094,2021-09-27,ukk3101-26900
14460,2020-06-17,ukj2201-14400
24159,2020-07-10,ukj2402-15650
61135,2021-05-05,uke1301-09000
70534,2021-05-27,ukk2205-21200
133787,2022-05-25,ukj2401-15300
97430,2021-07-30,ukk3105-31450
20089,2020-06-30,ukk3103-29500
130023,2022-05-16,ukj3400-17700
108142,2021-08-25,ukj2401-15200
15177,2020-06-19,ukc2102-03600
113263,2021-09-06,ukk2204-19700
86845,2021-07-05,ukk2101-19000
121781,2021-09-26,ukk4301-22300
95845,2021-07-27,ukc1202-06600
179640,2022-09-13,ukh3100-11800
110836,2021-08-31,ukk3105-31350
127177,2022-05-09,ukk3101-27000
70319,2021-05-27,ukd1103-45200
52678,2020-09-16,ukd4200-42300
45426,2020-08-29,ukk4200-24200
97308,2021-07-30,ukj4210-12660
170126,2022-08-19,ukk3102-31650
51817,2020-09-14,ukc2203-05100
16990,2020-06-23,ukj2202-14150
17944,2020-06-25,ukk2205-21500
81072,2021-06-21,ukk3105-30100
39398,2020-08-15,ukk2201-17300
121615,2021-09-26,ukj4210-12900
32386,2020-07-29,ukk4301-22300
156656,2022-07-18,ukk3102-31800
122059,2021-09-27,ukk2201-18800
181155,2022-09-16,ukk4200-23700
33524,2020-08-01,ukk2206-20500
91056,2021-07-15,ukk2204-19700
186909,2022-09-30,ukk2101-19050
103628,2021-08-14,ukk2204-19900
180616,2022-09-15,ukk2204-20100
185443,2022-09-27,ukc2203-04900
138277,2022-06-05,ukc2101-04200
133131,2022-05-23,ukk3106-27400
85939,2021-07-03,ukj2402-15650
119136,2021-09-20,ukk2205-21000
89098,2021-07-10,ukk4301-22200
63169,2021-05-10,ukc2101-04000
18634,2020-06-27,ukh1305-10150
86816,2021-07-05,ukj4204-13200
11964,2020-06-11,ukj3307-16350
149046,2022-06-30,ukk2205-21300
146670,2022-06-24,ukk4305-25900
162408,2022-08-01,ukj2204-13900
27854,2020-07-19,ukd5400-41000
64856,2021-05-14,ukc2106-04400
97092,2021-07-29,ukk4306-22900
133382,2022-05-24,ukj3307-16300
162349,2022-08-01,ukf3102-09300
29745,2020-07-23,ukk2305-35100
169683,2022-08-18,ukk2206-20900
5090,2020-05-26,ukc2300-05500
168666,2022-08-16,ukf3102-09500
124224,2022-04-29,ukk2302-35500
17074,2020-06-23,ukk2101-19060
87660,2021-07-07,ukj4208-13800
9434,2020-06-05,ukj3304-16850
69446,2021-05-25,ukc1202-06400
43901,2020-08-26,ukh1407-10800
179891,2022-09-13,ukk4200-23600
134272,2022-05-26,ukj4210-12850
101618,2021-08-09,ukk3105-31350
78456,2021-06-15,ukj4210-12800
117108,2021-09-15,ukk3105-30300
185071,2022-09-26,uke2206-06900
150218,2022-07-03,ukj3100-16600
74465,2021-06-05,ukk4306-22800
106669,2021-08-21,ukk3106-32330
71828,2021-05-30,ukk3103-29000
160867,2022-07-28,ukk3102-31900
90959,2021-07-15,ukj2205-14200
71704,2021-05-30,ukj3305-16700
138499,2022-06-05,ukk2102-19190
135964,2022-05-30,ukk2101-19000
1566,2020-05-17,ukk3103-29501
103457,2021-08-14,uke2206-07000
141634,2022-06-13,ukc1101-06200
108392,2021-08-25,ukk4305-25600
43071,2020-08-24,ukh3311-11100
126335,2022-05-07,ukk3101-27000
15304,2020-06-19,ukj2201-14550
69009,2021-05-23,ukk4305-25900
113724,2021-09-07,ukk3102-31800
14044,2020-06-16,ukj2203-14600
34088,2020-08-02,ukk4305-25400
176565,2022-09-05,ukk4305-26200
178354,2022-09-10,ukh1303-10350
124397,2022-04-30,ukc2102-03900
39642,2020-08-16,ukd5400-41000
52948,2020-09-16,ukk3104-33700
80039,2021-06-19,ukh3100-11904
36068,2020-08-07,ukk3101-26800
136827,2022-06-01,ukk2204-19700
63869,2021-05-11,ukk3103-29200
57850,2020-09-28,ukj3305-16700
21656,2020-07-04,ukj3400-17800
32455,2020-07-30,ukc2300-05500
56454,2020-09-25,ukd1101-46100
90268,2021-07-13,ukk3103-29500
52964,2020-09-16,ukk3105-31350
157825,2022-07-21,ukj4204-13000
64988,2021-05-14,ukj2402-15600
158868,2022-07-23,ukk4305-24800
40045,2020-08-17,ukd1203-45675
76658,2021-06-11,ukh1303-10325
85356,2021-07-01,ukk4306-22500
167268,2022-08-12,ukk4200-24500
22302,2020-07-05,ukk4305-25600
66257,2021-05-17,ukj3305-16700
133216,2022-05-24,ukc1202-06400
19319,2020-06-28,ukk4200-23700
27857,2020-07-19,uke1200-08000
185439,2022-09-27,ukc2104-04300
10201,2020-06-07,ukf3102-09700
96534,2021-07-28,ukk3101-26800
43917,2020-08-26,ukh3311-11500
101468,2021-08-09,ukj3400-18100
118799,2021-09-19,ukk3105-31450
167576,2022-08-13,ukk2206-20700
24928,2020-07-12,uke2206-07700
15240,2020-06-19,uke2206-07200
106494,2021-08-21,ukj3400-17900
99302,2021-08-04,ukh1407-10750
118764,2021-09-19,ukk3103-30000
39402,2020-08-15,ukk2201-18900
34153,2020-08-03,ukd4200-42100
157079,2022-07-19,ukk3102-32000
28726,2020-07-21,ukh1303-10325
39743,2020-08-16,ukj2407-15400
165294,2022-08-08,ukf3102-09100
112034,2021-09-03,ukk3101-26570
147890,2022-06-27,ukk4200-23200
5617,2020-05-27,ukj2100-14950
100160,2021-08-06,ukh3311-11700
155668,2022-07-16,ukj2201-14550
44030,2020-08-26,ukk2201-18700
82294,2021-06-24,ukk3102-28700
57400,2020-09-27,ukj2100-14950
128114,2022-05-11,ukk4200-24300
3206,2020-05-21,ukk2205-21100
111121,2021-09-01,ukj4208-13500
17810,2020-06-25,ukh3306-11750
29675,2020-07-23,ukj4208-13600
106805,2021-08-22,uke1200-08900
157019,2022-07-19,ukk2101-19100
32339,2020-07-29,ukk3106-27200
76184,2021-06-10,ukd1103-44800
152274,2022-07-08,ukh3100-11800
50223,2020-09-10,ukh3100-11850
98529,2021-08-02,ukj3400-17500
53127,2020-09-17,uke2206-06900
178820,2022-09-11,ukj2100-14950
109027,2021-08-27,ukj4208-13600
125897,2022-05-06,ukk2206-20700
147121,2022-06-26,ukc2102-03700
145642,2022-06-22,ukk1202-35700
4688,2020-05-25,ukd4303-41900
95498,2021-07-26,uke2206-07200
117809,2021-09-17,ukj3400-18100
82586,2021-06-25,ukj2402-15600
75311,2021-06-08,ukc1202-06300
146334,2022-06-24,uke1200-08800
72097,2021-05-31,ukj2201-14500
31462,2020-07-27,ukk3104-32550
57901,2020-09-28,ukk1100-36050
187024,2022-09-30,ukk3106-27800
70811,2021-05-28,ukh1407-10800
159193,2022-07-24,ukk3103-29900
71703,2021-05-30,ukj3304-16850
31182,2020-07-27,ukc2104-04300
186967,2022-09-30,ukk3102-31650
172089,2022-08-25,ukj2202-14100
114385,2021-09-09,ukh1406-11000
96377,2021-07-28,ukh3100-11850
132266,2022-05-21,ukk3104-33650
179583,2022-09-13,ukd5400-40800
186782,2022-09-30,ukh1305-10000
80816,2021-06-21,ukd5400-40900
136532,2022-05-31,ukk4200-24100
156524,2022-07-18,ukj2402-15650
170068,2022-08-19,ukk2101-19050
25643,2020-07-13,ukk4301-21600
161840,2022-07-31,ukc1101-06000
111673,2021-09-02,ukk3105-31300
31388,2020-07-27,ukk2101-19060
75207,2021-06-07,ukk3105-30200
46387,2020-09-01,uke1200-08800
142020,2022-06-13,ukk4304-34300
136060,2022-05-30,ukk3105-30400
61958,2021-05-07,ukd5300-41500
128414,2022-05-12,ukk2205-21000
15422,2020-06-19,ukk2206-20600
31230,2020-07-27,uke1200-08700
141164,2022-06-11,ukk4200-24200
19838,2020-06-30,ukd1203-45700
6916,2020-05-30,ukj3308-17100
76465,2021-06-10,ukk3105-30300
54558,2020-09-20,ukk2201-18900
83003,2021-06-26,ukj2401-15300
169157,2022-08-17,ukj2402-15800
67285,2021-05-19,ukk3106-32400
149040,2022-06-30,ukk2204-20100
95088,2021-07-25,ukf3102-09200
32538,2020-07-30,ukh3100-11780
24179,2020-07-10,ukj3400-17500
20433,2020-07-01,ukk1202-35700
155058,2022-07-14,ukk4200-24300
131683,2022-05-20,ukj2402-15500
6296,2020-05-28,ukk4305-24800
171759,2022-08-24,ukk2102-19190
125521,2022-05-05,ukk3104-32750
94861,2021-07-24,ukk3102-28500
90992,2021-07-15,ukj3400-18000
